School_ID,Short_Name,holc_id,holc_grade,Grade_Cat
610590,BRONZEVILLE CLASSICAL,D73,D,ES
400113,CICS - CHICAGOQUEST HS,D30,D,HS
400168,GREAT LAKES,D99,D,ES
610033,LASALLE,D15,D,ES
609716,KELVYN PARK HS,B83,B,HS
400150,YCCS - CHATHAM,C246,C,HS
610182,SOLOMON,B61,B,ES
610005,HUGHES C,C160,C,ES
609986,HENDERSON,C210,C,ES
610571,OMBUDSMAN - WEST HS,D33,D,HS
609870,CORKERY,C162,C,ES
610235,YOUNG ES,C107,C,ES
610170,COLUMBIA EXPLORERS,C194,C,ES
609852,CHAPPELL,,,ES
400009,GLOBAL CITIZENSHIP,,,ES
610312,MCDOWELL,C247,C,ES
400134,YCCS - ADDAMS,D49,D,HS
610185,STEVENSON,,,ES
610013,PILSEN,,,ES
610091,BROWN R,D119,D,ES
609756,CURIE HS,C195,C,HS
610244,CLARK HS,C149,C,HS
610369,JACKSON M,D92,D,ES
400175,CAMELOT - EXCEL SOUTH SHORE HS,C244,C,HS
609828,BURR,D10,D,ES
609908,ESMOND,D109,D,ES
609954,GREGORY,C159,C,ES
400022,CHIARTS HS,C155,C,HS
610138,PULASKI,D13,D,ES
609679,PROSSER HS,C103,C,HS
609867,COOPER,D42,D,ES
610052,MANN,C245,C,ES
610128,GARVEY,D108,D,ES
610226,SANDOVAL,,,ES
610543,SOLORIO HS,,,HS
609899,EBINGER,B52,B,ES
609806,BRADWELL,C243,C,ES
610499,COLLINS HS,,,HS
400027,CICS - IRVING PARK,C59,C,ES
610059,MAYER,D12,D,ES
610057,FAIRFIELD,C209,C,ES
400091,CHICAGO TECH HS,D40,D,HS
610257,MORTON,D25,D,ES
610299,KING ES,D83,D,ES
609722,MANLEY HS,D36,D,HS
610212,ALBANY PARK,C55,C,ES
610174,SHIELDS,C194,C,ES
609995,HITCH,C39,C,ES
610274,JOHNSON,D36,D,ES
609734,TAFT HS,,,HS
609762,JULIAN HS,D108,D,HS
610087,BLAIR,,,ES
609786,AVALON PARK,B121,B,ES
400069,POLARIS,C153,C,ES
610100,WEST PARK,C114,C,ES
400048,LEARN - EXCEL,D25,D,ES
609926,FRANKLIN,D30,D,ES
609944,GRISSOM,,,ES
609969,HARTE,,,ES
610339,STAGG,D83,D,ES
610124,WASHINGTON H ES,D98,D,ES
400061,PERSPECTIVES - LEADERSHIP HS,,,HS
400049,LEGACY,C163,C,ES
609880,DECATUR,B72,B,ES
610065,TILL,D75,D,ES
400084,ACERO - TAMAYO,C208,C,ES
400031,CICS - WRIGHTWOOD,D84,D,ES
610350,BLACK,C249,C,ES
609783,JEFFERSON HS,D38,D,HS
610041,LOCKE J,C95,C,ES
610217,WARD J,D51,D,ES
400165,LEARN - MIDDLE,D25,D,ES
610385,MULTICULTURAL HS,,,HS
610558,GOODE HS,,,HS
609693,WESTINGHOUSE HS,C153,C,HS
610002,HOYNE,,,ES
610021,CASALS,C154,C,ES
609798,BELDING,C50,C,ES
610282,MCNAIR,C109,C,ES
610153,RYDER,C235,C,ES
609739,WASHINGTON HS,D115,D,HS
610317,BRIGHTON PARK,D64,D,ES
610586,SADLOWSKI,C267,C,ES
609791,BASS,D83,D,ES
400043,HOPE LEARNING ACADEMY,,,ES
610105,ORIOLE PARK,,,ES
400077,U OF C - WOODLAWN HS,C219,C,HS
400141,YCCS - TRUMAN,C84,C,HS
610529,OGDEN HS,D32,D,HS
609921,TELPOCHCALLI,C163,C,ES
610099,NORWOOD PARK,C38,C,ES
609975,HAY,C108,C,ES
609733,SULLIVAN HS,C68,C,HS
609844,CARTER,D74,D,ES
609927,FOSTER PARK,C230,C,ES
610137,PRUSSING,C43,C,ES
400092,CICS - BOND,,,ES
609964,HAMLINE,D70,D,ES
400123,YCCS - SCHOLASTIC ACHIEVEMENT,C147,C,HS
609887,DIXON,B118,B,ES
400053,NOBLE - GOLDER HS,D29,D,HS
609827,BURNSIDE,C246,C,ES
610177,SKINNER,,,ES
610200,THORP J,D100,D,ES
609749,NORTHSIDE PREP HS,B64,B,HS
609773,AGASSIZ,C122,C,ES
610391,LINDBLOM HS,C211,C,HS
610131,PLAMONDON,D36,D,ES
609971,HARVARD,D83,D,ES
610047,MADISON,C238,C,ES
610564,DISNEY II HS,C61,C,HS
609817,BUDLONG,B66,B,ES
400181,ART IN MOTION,,,HS
609874,DIRKSEN,,,ES
610193,NEW SULLIVAN,D100,D,ES
400159,CHRISTOPHER HOUSE,C102,C,ES
609856,CLAY,D122,D,ES
609680,PAYTON HS,D30,D,HS
610229,PRITZKER,D29,D,ES
610006,HURLEY,,,ES
610355,COURTENAY,C84,C,ES
400129,YCCS - PROGRESSIVE LEADERSHIP,,,HS
610015,JUNGMAN,D42,D,ES
610183,SPENCER,C147,C,ES
610520,LASALLE II,D29,D,ES
609727,PHILLIPS HS,D74,D,HS
610077,MORRILL,C209,C,ES
609917,FERNWOOD,C258,C,ES
400098,NOBLE - MUCHIN HS,,,HS
610515,DISNEY II ES,C50,C,ES
609833,CALDWELL,B121,B,ES
609933,GALE,C64,C,ES
610143,REAVIS,D76,D,ES
609709,GAGE PARK HS,C209,C,HS
610076,MOOS,D10,D,ES
400135,YCCS - LATINO YOUTH,C163,C,HS
609710,HARLAN HS,,,HS
610094,NETTELHORST,C89,C,ES
400176,CAMELOT - EXCEL SOUTHWEST HS,C209,C,HS
609863,COLUMBUS,C156,C,ES
610112,PARKER,,,ES
400011,LOCKE A,D25,D,ES
609895,TURNER-DREW,,,ES
610220,WATERS,C58,C,ES
610249,TALMAN,C208,C,ES
609959,HAINES,D51,D,ES
400118,NOBLE - DRW HS,C159,C,HS
609810,BRIDGE,C95,C,ES
609952,GREENE,D62,D,ES
609930,FUNSTON,C112,C,ES
609851,CHALMERS,D36,D,ES
610142,RAY,C215,C,ES
400023,CICS - AVALON/SOUTH SHORE,B121,B,ES
609869,LANGFORD,D71,D,ES
400097,NOBLE - BULLS HS,D37,D,HS
610053,MARQUETTE,C209,C,ES
609674,CHICAGO VOCATIONAL HS,,,HS
610227,WHITNEY,C162,C,ES
610127,PETERSON,B64,B,ES
609900,CURTIS,D120,D,ES
610251,CATHER,D27,D,ES
610291,LEE,C204,C,ES
400130,YCCS - YOUTH DEVELOPMENT,D87,D,HS
609805,JOPLIN,C230,C,ES
610054,MARSH,D114,D,ES
609832,BYRNE,C199,C,ES
610034,LAWNDALE,D34,D,ES
610263,DULLES,,,ES
400151,LEARN - 7,D25,D,ES
609987,HENDRICKS,D72,D,ES
609945,GOUDY,C82,C,ES
609885,DEWEY,D72,D,ES
610009,GALILEO,D41,D,ES
400052,NOBLE - COMER,,,HS
400062,PERSPECTIVES - TECH HS,,,HS
610503,FRAZIER PROSPECTIVE,C158,C,ES
609744,NORTHSIDE LEARNING HS,,,HS
610323,BOWEN HS,,,HS
610068,HANSON PARK,C102,C,ES
609939,GILLESPIE,D97,D,ES
400114,ACERO - SANTIAGO,C155,C,ES
610108,OTOOLE,C211,C,ES
609794,EDISON,C55,C,ES
610090,MURRAY,C215,C,ES
610572,CAMELOT - SAFE ES,C244,C,ES
610115,PARK MANOR,C237,C,ES
