src_station,src_loc_x,src_loc_y,src_loc,dest_stations,dest_loc_x,dest_loc_y,dest_loc
18th St.,-87.61803421182888,41.85773103512421,POINT (-87.61803421182888 41.85773103512421),19th St. Merge,-87.61733480661647,41.856579826230366,POINT (-87.61733480661647 41.856579826230366)
19th St. Merge,-87.61733480661647,41.856579826230366,POINT (-87.61733480661647 41.856579826230366),18th St.,-87.61803421182888,41.85773103512421,POINT (-87.61803421182888 41.85773103512421)
19th St. Merge,-87.61733480661647,41.856579826230366,POINT (-87.61733480661647 41.856579826230366),McCormick Place,-87.61614217651787,41.850942354763596,POINT (-87.61614217651787 41.850942354763596)
McCormick Place,-87.61614217651787,41.850942354763596,POINT (-87.61614217651787 41.850942354763596),19th St. Merge,-87.61733480661647,41.856579826230366,POINT (-87.61733480661647 41.856579826230366)
11th Pl. Divide,-87.61957289715936,41.86374590823269,POINT (-87.61957289715936 41.86374590823269),19th St. Merge,-87.61733480661647,41.856579826230366,POINT (-87.61733480661647 41.856579826230366)
19th St. Merge,-87.61733480661647,41.856579826230366,POINT (-87.61733480661647 41.856579826230366),11th Pl. Divide,-87.61957289715936,41.86374590823269,POINT (-87.61957289715936 41.86374590823269)
Ogilvie Station,-87.64213980684744,41.88962927170604,POINT (-87.64213980684744 41.88962927170604),Clinton St. Junction,-87.64076896408228,41.88304935182831,POINT (-87.64076896408228 41.88304935182831)
Clinton St. Junction,-87.64076896408228,41.88304935182831,POINT (-87.64076896408228 41.88304935182831),Ogilvie Station,-87.64213980684744,41.88962927170604,POINT (-87.64213980684744 41.88962927170604)
Union Station,-87.68604235544879,41.88843921348716,POINT (-87.68604235544879 41.88843921348716),Western Ave. Interlocking,-87.63885072760013,41.87919659550953,POINT (-87.63885072760013 41.87919659550953)
Western Ave. Interlocking,-87.63885072760013,41.87919659550953,POINT (-87.63885072760013 41.87919659550953),Union Station,-87.68604235544879,41.88843921348716,POINT (-87.68604235544879 41.88843921348716)
Glenview,-87.81572728797315,42.097487146543436,POINT (-87.81572728797315 42.097487146543436),North Glenview,-87.80557046398621,42.07461818566561,POINT (-87.80557046398621 42.07461818566561)
North Glenview,-87.80557046398621,42.07461818566561,POINT (-87.80557046398621 42.07461818566561),Glenview,-87.81572728797315,42.097487146543436,POINT (-87.81572728797315 42.097487146543436)
North Glenview,-87.82813748667259,42.12762956992147,POINT (-87.82813748667259 42.12762956992147),Northbrook,-87.81572728797315,42.097487146543436,POINT (-87.81572728797315 42.097487146543436)
Northbrook,-87.81572728797315,42.097487146543436,POINT (-87.81572728797315 42.097487146543436),North Glenview,-87.82813748667259,42.12762956992147,POINT (-87.82813748667259 42.12762956992147)
Clybourn,-87.73116374571093,41.95316954974312,POINT (-87.73116374571093 41.95316954974312),Irving Park,-87.66842908841696,41.9171031300112,POINT (-87.66842908841696 41.9171031300112)
Irving Park,-87.66842908841696,41.9171031300112,POINT (-87.66842908841696 41.9171031300112),Clybourn,-87.73116374571093,41.95316954974312,POINT (-87.73116374571093 41.95316954974312)
Clybourn Junction,-87.66805367356315,41.91721478608723,POINT (-87.66805367356315 41.91721478608723),Clybourn,-87.66693531919698,41.91513775339725,POINT (-87.66693531919698 41.91513775339725)
Clybourn,-87.66693531919698,41.91513775339725,POINT (-87.66693531919698 41.91513775339725),Clybourn Junction,-87.66805367356315,41.91721478608723,POINT (-87.66805367356315 41.91721478608723)
Clinton St. Junction,-87.66693531919698,41.91513775339725,POINT (-87.66693531919698 41.91513775339725),Clybourn Junction,-87.64213980684744,41.88962927170604,POINT (-87.64213980684744 41.88962927170604)
Clybourn Junction,-87.64213980684744,41.88962927170604,POINT (-87.64213980684744 41.88962927170604),Clinton St. Junction,-87.66693531919698,41.91513775339725,POINT (-87.66693531919698 41.91513775339725)
Clybourn Junction,-87.66842908841696,41.9171031300112,POINT (-87.66842908841696 41.9171031300112),Clybourn,-87.66693531919698,41.91513775339725,POINT (-87.66693531919698 41.91513775339725)
Clybourn,-87.66693531919698,41.91513775339725,POINT (-87.66693531919698 41.91513775339725),Clybourn Junction,-87.66842908841696,41.9171031300112,POINT (-87.66842908841696 41.9171031300112)
B-12 Junction,-87.880317001389,41.99521197561157,POINT (-87.880317001389 41.99521197561157),O'Hare,-87.85417130408706,41.933646570479816,POINT (-87.85417130408706 41.933646570479816)
O'Hare,-87.85417130408706,41.933646570479816,POINT (-87.85417130408706 41.933646570479816),B-12 Junction,-87.880317001389,41.99521197561157,POINT (-87.880317001389 41.99521197561157)
River Grove,-87.85417130408706,41.933646570479816,POINT (-87.85417130408706 41.933646570479816),B-12 Junction,-87.83632459924124,41.931003726664215,POINT (-87.83632459924124 41.931003726664215)
B-12 Junction,-87.83632459924124,41.931003726664215,POINT (-87.83632459924124 41.931003726664215),River Grove,-87.85417130408706,41.933646570479816,POINT (-87.85417130408706 41.933646570479816)
B-12 Junction,-87.86658580612901,41.93653197463551,POINT (-87.86658580612901 41.93653197463551),Franklin Park,-87.85417130408706,41.933646570479816,POINT (-87.85417130408706 41.933646570479816)
