station,loc
18th St.,POINT (-87.61803421182888 41.85773103512421)
19th St. Merge,POINT (-87.61733480661647 41.856579826230366)
McCormick Place,POINT (-87.61614217651787 41.850942354763596)
11th Pl. Divide,POINT (-87.61957289715936 41.86374590823269)
Ogilvie Station,POINT (-87.64213980684744 41.88962927170604)
Clinton St. Junction,POINT (-87.64076896408228 41.88304935182831)
Union Station,POINT (-87.68604235544879 41.88843921348716)
Western Ave. Interlocking,POINT (-87.63885072760013 41.87919659550953)
Glenview,POINT (-87.81572728797315 42.097487146543436)
North Glenview,POINT (-87.80557046398621 42.07461818566561)
North Glenview,POINT (-87.82813748667259 42.12762956992147)
Northbrook,POINT (-87.81572728797315 42.097487146543436)
Clybourn,POINT (-87.73116374571093 41.95316954974312)
Irving Park,POINT (-87.66842908841696 41.9171031300112)
Clybourn Junction,POINT (-87.66805367356315 41.91721478608723)
Clybourn,POINT (-87.66693531919698 41.91513775339725)
Clinton St. Junction,POINT (-87.66693531919698 41.91513775339725)
Clybourn Junction,POINT (-87.64213980684744 41.88962927170604)
Clybourn Junction,POINT (-87.66842908841696 41.9171031300112)
B-12 Junction,POINT (-87.880317001389 41.99521197561157)
O'Hare,POINT (-87.85417130408706 41.933646570479816)
River Grove,POINT (-87.85417130408706 41.933646570479816)
B-12 Junction,POINT (-87.83632459924124 41.931003726664215)
B-12 Junction,POINT (-87.86658580612901 41.93653197463551)
Franklin Park,POINT (-87.85417130408706 41.933646570479816)
LaSalle St.,POINT (-87.63213743762101 41.875048243696355)
Gresham,POINT (-87.64461341798653 41.736642897145266)
East Chicago,POINT (-87.4814542909991 41.612880075651574)
Gary Airport,POINT (-87.39464024362395 41.605215545082146)
Gary Airport,POINT (-87.39457732389685 41.6052150312888)
Gary Metro,POINT (-87.33891084628608 41.60525346856183)
Gary Metro,POINT (-87.33882304881587 41.605239618500455)
Miller,POINT (-87.26344668255504 41.597995648936816)
Miller,POINT (-87.26348423953718 41.59798620115998)
Ogden Dunes,POINT (-87.1914669784413 41.616495744715124)
Ogden Dunes,POINT (-87.19136119507996 41.61651148911156)
Dune Park,POINT (-87.05791327407438 41.64587174756767)
Hegewisch,POINT (-87.5462363165446 41.64827214027495)
Hammond,POINT (-87.52237282223989 41.632058590676515)
East Chicago,POINT (-87.49888538101075 41.629301739699635)
Hammond,POINT (-87.4987635082394 41.6292814798002)
Hammond,POINT (-87.49888538101075 41.629301739699635)
Geneva,POINT (-88.4117993425557 41.886701261673636)
La Fox,POINT (-88.31020828939712 41.881501400093825)
La Fox,POINT (-88.46412337191633 41.89073057874711)
Elburn,POINT (-88.4117993425557 41.886701261673636)
179th St,POINT (-87.95990486263373 41.483164556586495)
LAraway Road,POINT (-87.9028203838136 41.5636634937275)
Laraway Road,POINT (-87.98870941788743 41.418936267101714)
Manhattan,POINT (-87.95990486263373 41.483164556586495)
Crystal Lake Junction,POINT (-88.31144690193213 42.24122350800468)
McHenry,POINT (-88.2761472117921 42.34329585332164)
Richton Park,POINT (-87.7089841028244 41.48559221320165)
University Park,POINT (-87.7233186865824 41.458960580050025)
147th St.,POINT (-87.63594038989771 41.6230059775317)
Harvey,POINT (-87.64353497256226 41.60892659076232)
Calumet,POINT (-87.66283039070787 41.57273938550343)
Homewood,POINT (-87.66835512142204 41.56237326706866)
Olympia Fields,POINT (-87.6904114499768 41.52104326495353)
211th St.,POINT (-87.6981157322903 41.50643770556421)
Matteson,POINT (-87.70191106640208 41.4986770320265)
Hazel Crest,POINT (-87.65850500396064 41.580838264916544)
Flossmoor,POINT (-87.67852003184949 41.543301045344336)
80th Ave.,POINT (-87.80954001043759 41.564380973934625)
Hickory Creek,POINT (-87.8476227300023 41.54797051830099)
Oak Forest,POINT (-87.73818870161654 41.60463603228985)
Tinley Park,POINT (-87.78357691889828 41.5756112917841)
Mokena,POINT (-87.88691670415685 41.530962120243636)
120th St. Junction,POINT (-87.61393128906259 41.67679554508016)
