src_station,dest_stations
Tower 12,Library
Library,Tower 12
Subway Portal B,Sedgwick
Sedgwick,Subway Portal B
Oakton-Skokie,Howard
Howard,Oakton-Skokie
Washington/Wabash,Adams/Wabash
Adams/Wabash,Washington/Wabash
State/Lake,Washington/Wabash
Washington/Wabash,State/Lake
Clark/Lake,State/Lake
State/Lake,Clark/Lake
Kedzie-Ravenswood,Francisco
Francisco,Kedzie-Ravenswood
Rockwell,Western-Ravenswood
Western-Ravenswood,Rockwell
Damen-Ravenswood,Montrose-Ravenswood
Montrose-Ravenswood,Damen-Ravenswood
Addison-Ravenswood,Paulina
Paulina,Addison-Ravenswood
Paulina,Southport
Southport,Paulina
Harlem-Lake,Oak Park-Lake
Oak Park-Lake,Harlem-Lake
Austin-Lake,Central-Lake
Central-Lake,Austin-Lake
Laramie,Cicero-Lake
Cicero-Lake,Laramie
Pulaski-Lake,Conservatory-Central Park
Conservatory-Central Park,Pulaski-Lake
Conservatory-Central Park,Kedzie-Lake
Kedzie-Lake,Conservatory-Central Park
Cottage Grove,King Drive
King Drive,Cottage Grove
Garfield-South Elevated,51st
51st,Garfield-South Elevated
47th-South Elevated,43rd
43rd,47th-South Elevated
Indiana,35-Bronzeville-IIT
35-Bronzeville-IIT,Indiana
Midway Airport,Pulaski-Midway
Pulaski-Midway,Midway Airport
Monroe/State,Jackson/State
Jackson/State,Monroe/State
Lake/State,Monroe/State
Monroe/State,Lake/State
Pulaski-Congress,Kedzie-Homan
Kedzie-Homan,Pulaski-Congress
Illinois Medical District,Loomis Junction
Loomis Junction,Illinois Medical District
Rosemont,Cumberland
Cumberland,Rosemont
95/Dan Ryan,87th
87th,95/Dan Ryan
87th,79th
79th,87th
69th,63rd-Dan Ryan
63rd-Dan Ryan,69th
Damen/Milwaukee,Division/Milwaukee
Division/Milwaukee,Damen/Milwaukee
California/Milwaukee,Western/Milwaukee
Western/Milwaukee,California/Milwaukee
Irving Park-O'Hare,Addison-O'Hare
Addison-O'Hare,Irving Park-O'Hare
Montrose-O'Hare,Irving Park-O'Hare
Irving Park-O'Hare,Montrose-O'Hare
47th-Dan Ryan,Sox-35th-Dan Ryan
Sox-35th-Dan Ryan,47th-Dan Ryan
Forest Park,Harlem-Congress
Harlem-Congress,Forest Park
Grand/Milwaukee,Clark/Lake
Clark/Lake,Grand/Milwaukee
UIC-Halsted,Clinton-Congress
Clinton-Congress,UIC-Halsted
Cermak-Chinatown,Roosevelt/State
Roosevelt/State,Cermak-Chinatown
Lawrence,Wilson
Wilson,Lawrence
Sheridan,Addison-North Main
Addison-North Main,Sheridan
Clark Junction,Belmont-North Main
Belmont-North Main,Clark Junction
Diversey,Fullerton
Fullerton,Diversey
Howard,Jarvis
Jarvis,Howard
Loyola,Granville
Granville,Loyola
Bryn Mawr,Berwyn
Berwyn,Bryn Mawr
Chicago/State,Grand/State
Grand/State,Chicago/State
North/Clybourn,Clark/Division
Clark/Division,North/Clybourn
Subway Portal B,North/Clybourn
North/Clybourn,Subway Portal B
Jarvis,Morse
Morse,Jarvis
Granville,Thorndale
Thorndale,Granville
Argyle,Lawrence
Lawrence,Argyle
Wellington,Diversey
Diversey,Wellington
Noyes,Foster
Foster,Noyes
Dempster,Main
Main,Dempster
South Blvd.,Howard
Howard,South Blvd.
Pulaski-Midway,Kedzie-Midway
