station,loc,x,y
Tower 12,POINT (-87.62820914531717 41.87690834080102),-87.62820914531717,41.87690834080102
Library,POINT (-87.62603003565505 41.87670362155761),-87.62603003565505,41.87670362155761
Subway Portal B,POINT (-87.63930216509759 41.91040917920609),-87.63930216509759,41.91040917920609
Sedgwick,POINT (-87.65250042638078 41.91405947139245),-87.65250042638078,41.91405947139245
Oakton-Skokie,POINT (-87.74720016210583 42.026191860574464),-87.74720016210583,42.026191860574464
Howard,POINT (-87.67289245048143 42.019063219404885),-87.67289245048143,42.019063219404885
Washington/Wabash,POINT (-87.62609790004433 41.87951021928636),-87.62609790004433,41.87951021928636
Adams/Wabash,POINT (-87.62618878478624 41.88322001358644),-87.62618878478624,41.88322001358644
State/Lake,POINT (-87.62618878478624 41.88322001358644),-87.62618878478624,41.88322001358644
Clark/Lake,POINT (-87.62783518170671 41.88574041015741),-87.62783518170671,41.88574041015741
Kedzie-Ravenswood,POINT (-87.70884379323246 41.966092607289106),-87.70884379323246,41.966092607289106
Francisco,POINT (-87.70165573327995 41.96614689570424),-87.70165573327995,41.96614689570424
Rockwell,POINT (-87.69411112500073 41.96620994941366),-87.69411112500073,41.96620994941366
Western-Ravenswood,POINT (-87.68850260625739 41.96625004819454),-87.68850260625739,41.96625004819454
Damen-Ravenswood,POINT (-87.67863488523764 41.9664109730964),-87.67863488523764,41.9664109730964
Montrose-Ravenswood,POINT (-87.67516538968898 41.96175171197687),-87.67516538968898,41.96175171197687
Addison-Ravenswood,POINT (-87.67473610796914 41.94702865598186),-87.67473610796914,41.94702865598186
Paulina,POINT (-87.67088394290286 41.94370914861146),-87.67088394290286,41.94370914861146
Southport,POINT (-87.6636095600388 41.94381225637493),-87.6636095600388,41.94381225637493
Harlem-Lake,POINT (-87.79378335111714 41.88698752106858),-87.79378335111714,41.88698752106858
Oak Park-Lake,POINT (-87.80317598726757 41.88684830337799),-87.80317598726757,41.88684830337799
Austin-Lake,POINT (-87.76564950636903 41.88738901364681),-87.76564950636903,41.88738901364681
Central-Lake,POINT (-87.77413525571575 41.88729278482994),-87.77413525571575,41.88729278482994
Laramie,POINT (-87.74469839987644 41.88651935231743),-87.74469839987644,41.88651935231743
Cicero-Lake,POINT (-87.75498649486678 41.887163225885985),-87.75498649486678,41.887163225885985
Pulaski-Lake,POINT (-87.71652283366106 41.884904379303514),-87.71652283366106,41.884904379303514
Conservatory-Central Park,POINT (-87.72540376659984 41.88541197816177),-87.72540376659984,41.88541197816177
Kedzie-Lake,POINT (-87.71652283366106 41.884904379303514),-87.71652283366106,41.884904379303514
Cottage Grove,POINT (-87.61554588347299 41.78012971710982),-87.61554588347299,41.78012971710982
King Drive,POINT (-87.60585741773565 41.7803087673173),-87.60585741773565,41.7803087673173
Garfield-South Elevated,POINT (-87.61850160038513 41.80209158439043),-87.61850160038513,41.80209158439043
51st,POINT (-87.61832410780895 41.79517665397972),-87.61832410780895,41.79517665397972
47th-South Elevated,POINT (-87.61903578164362 41.81646322337325),-87.61903578164362,41.81646322337325
43rd,POINT (-87.61882612862185 41.80920883498935),-87.61882612862185,41.80920883498935
Indiana,POINT (-87.62588147350365 41.83167802230818),-87.62588147350365,41.83167802230818
35-Bronzeville-IIT,POINT (-87.62146281193343 41.821815196352034),-87.62146281193343,41.821815196352034
Midway Airport,POINT (-87.73795637223279 41.78661355084155),-87.73795637223279,41.78661355084155
Pulaski-Midway,POINT (-87.72444964205462 41.79988782018018),-87.72444964205462,41.79988782018018
Monroe/State,POINT (-87.62769646021971 41.880744557964746),-87.62769646021971,41.880744557964746
Jackson/State,POINT (-87.62759609723359 41.87815275609865),-87.62759609723359,41.87815275609865
Lake/State,POINT (-87.62781338157066 41.88480886778704),-87.62781338157066,41.88480886778704
Pulaski-Congress,POINT (-87.72562493043237 41.873888724403244),-87.72562493043237,41.873888724403244
Kedzie-Homan,POINT (-87.70597829587952 41.874425509356854),-87.70597829587952,41.874425509356854
Illinois Medical District,POINT (-87.67394587990684 41.875635428971655),-87.67394587990684,41.875635428971655
