holc_id,holc_grade,community,NID,POP2010,POP2000,POPCH,POPPERCH,popplus,popneg,neighborhood_area,region_area
A28,A,FOREST GLEN,12,18508,18165,343,1.888247,1,0,15001615.403588079,4182575.9150119545
A29,A,FOREST GLEN,12,18508,18165,343,1.888247,1,0,15001615.403588079,2153661.9773015277
B54,B,FOREST GLEN,12,18508,18165,343,1.888247,1,0,15001615.403588079,1066716.209290486
B56,B,FOREST GLEN,12,18508,18165,343,1.888247,1,0,15001615.403588079,628310.3885201311
B57,B,FOREST GLEN,12,18508,18165,343,1.888247,1,0,15001615.403588079,722688.3533080346
B58,B,FOREST GLEN,12,18508,18165,343,1.888247,1,0,15001615.403588079,1005163.1688457441
B59,B,FOREST GLEN,12,18508,18165,343,1.888247,1,0,15001615.403588079,604670.0001462564
B61,B,FOREST GLEN,12,18508,18165,343,1.888247,1,0,15001615.403588079,2800406.928924866
C45,C,FOREST GLEN,12,18508,18165,343,1.888247,1,0,15001615.403588079,2522328.0812300085
C46,C,FOREST GLEN,12,18508,18165,343,1.888247,1,0,15001615.403588079,1768767.3076007192
C47,C,FOREST GLEN,12,18508,18165,343,1.888247,1,0,15001615.403588079,1830384.65170097
C50,C,FOREST GLEN,12,18508,18165,343,1.888247,1,0,15001615.403588079,5251126.2283876315
A29,A,NORTH PARK,13,17931,18514,-583,-3.148968,0,1,11826407.587983422,2153661.9773015277
B58,B,NORTH PARK,13,17931,18514,-583,-3.148968,0,1,11826407.587983422,1005163.1688457441
B59,B,NORTH PARK,13,17931,18514,-583,-3.148968,0,1,11826407.587983422,604670.0001462564
B61,B,NORTH PARK,13,17931,18514,-583,-3.148968,0,1,11826407.587983422,2800406.928924866
B62,B,NORTH PARK,13,17931,18514,-583,-3.148968,0,1,11826407.587983422,654027.4110603558
B64,B,NORTH PARK,13,17931,18514,-583,-3.148968,0,1,11826407.587983422,2046841.9461525236
C47,C,NORTH PARK,13,17931,18514,-583,-3.148968,0,1,11826407.587983422,1830384.65170097
