School ID,School Name,Network,Subject,Grade, # Students,Average RIT Score, % At/Above National Average Performance,National School Attainment Percentile
400009,GLOBAL CITIZENSHIP,Charter,READING,Grade 2,41,181.5,24.4,14
400009,GLOBAL CITIZENSHIP,Charter,READING,Grade 3,34,201.9,67.6,69
400009,GLOBAL CITIZENSHIP,Charter,READING,Grade 4,49,199.6,38.8,17
400009,GLOBAL CITIZENSHIP,Charter,READING,Grade 5,46,211.4,47.8,47
400009,GLOBAL CITIZENSHIP,Charter,READING,Grade 6,45,218.8,66.7,68
400009,GLOBAL CITIZENSHIP,Charter,READING,Grade 7,43,223.9,72.1,80
400009,GLOBAL CITIZENSHIP,Charter,READING,Grade 8,43,226.8,74.4,81
400009,GLOBAL CITIZENSHIP,Charter,READING,Grades 3-8 Combined,260,213.9,,61
400009,GLOBAL CITIZENSHIP,Charter,READING,Grades 2-8 Combined,301,209.5,55.5,54
400009,GLOBAL CITIZENSHIP,Charter,MATH,Grade 2,41,183.5,17.1,9
400009,GLOBAL CITIZENSHIP,Charter,MATH,Grade 3,34,206.2,70.6,67
400009,GLOBAL CITIZENSHIP,Charter,MATH,Grade 4,50,202.6,18,6
400009,GLOBAL CITIZENSHIP,Charter,MATH,Grade 5,42,218.3,57.1,35
400009,GLOBAL CITIZENSHIP,Charter,MATH,Grade 6,44,220.3,34.1,27
400009,GLOBAL CITIZENSHIP,Charter,MATH,Grade 7,44,230.9,52.3,61
400009,GLOBAL CITIZENSHIP,Charter,MATH,Grade 8,43,233.7,62.8,61
400009,GLOBAL CITIZENSHIP,Charter,MATH,Grades 3-8 Combined,257,218.8,,39
400009,GLOBAL CITIZENSHIP,Charter,MATH,Grades 2-8 Combined,298,213.9,43.3,35
400011,LOCKE A,Charter,READING,Grade 2,46,190.6,60.9,61
400011,LOCKE A,Charter,READING,Grade 3,55,199.1,56.4,53
400011,LOCKE A,Charter,READING,Grade 4,51,207,60.8,57
400011,LOCKE A,Charter,READING,Grade 5,47,215.4,66,72
400011,LOCKE A,Charter,READING,Grade 6,33,217.3,57.6,59
400011,LOCKE A,Charter,READING,Grade 7,32,223.9,71.9,80
400011,LOCKE A,Charter,READING,Grade 8,39,233.2,87.2,96
400011,LOCKE A,Charter,READING,Grades 3-8 Combined,257,214.3,,72
400011,LOCKE A,Charter,READING,Grades 2-8 Combined,303,210.7,65,70
400011,LOCKE A,Charter,MATH,Grade 2,46,194,56.5,62
400011,LOCKE A,Charter,MATH,Grade 3,55,204.6,56.4,57
400011,LOCKE A,Charter,MATH,Grade 4,51,213.6,49,51
400011,LOCKE A,Charter,MATH,Grade 5,47,224.1,57.4,63
400011,LOCKE A,Charter,MATH,Grade 6,33,226.6,54.5,56
400011,LOCKE A,Charter,MATH,Grade 7,32,230.8,59.4,60
400011,LOCKE A,Charter,MATH,Grade 8,39,242.7,79.5,89
400011,LOCKE A,Charter,MATH,Grades 3-8 Combined,257,221.9,,65
400011,LOCKE A,Charter,MATH,Grades 2-8 Combined,303,217.6,58.4,64
400012,AMANDLA,Charter,READING,Grade 5,,,,
400012,AMANDLA,Charter,READING,Grade 6,,,,
400012,AMANDLA,Charter,READING,Grade 7,,,,
400012,AMANDLA,Charter,READING,Grade 8,,,,
400012,AMANDLA,Charter,READING,Grades 3-8 Combined,,,,
400012,AMANDLA,Charter,READING,Grades 2-8 Combined,,,,
400012,AMANDLA,Charter,MATH,Grade 5,,,,
400012,AMANDLA,Charter,MATH,Grade 6,,,,
400012,AMANDLA,Charter,MATH,Grade 7,,,,
400012,AMANDLA,Charter,MATH,Grade 8,,,,
400012,AMANDLA,Charter,MATH,Grades 3-8 Combined,,,,
400012,AMANDLA,Charter,MATH,Grades 2-8 Combined,,,,
