holc_id,holc_grade,community,NID,POP2010,POP2000,POPCH,POPPERCH,popplus,popneg
A28,A,FOREST GLEN,12,18508,18165,343,1.888247,1,0
A29,A,FOREST GLEN,12,18508,18165,343,1.888247,1,0
B54,B,FOREST GLEN,12,18508,18165,343,1.888247,1,0
B56,B,FOREST GLEN,12,18508,18165,343,1.888247,1,0
B57,B,FOREST GLEN,12,18508,18165,343,1.888247,1,0
B58,B,FOREST GLEN,12,18508,18165,343,1.888247,1,0
B59,B,FOREST GLEN,12,18508,18165,343,1.888247,1,0
B61,B,FOREST GLEN,12,18508,18165,343,1.888247,1,0
C45,C,FOREST GLEN,12,18508,18165,343,1.888247,1,0
C46,C,FOREST GLEN,12,18508,18165,343,1.888247,1,0
C47,C,FOREST GLEN,12,18508,18165,343,1.888247,1,0
C50,C,FOREST GLEN,12,18508,18165,343,1.888247,1,0
A29,A,NORTH PARK,13,17931,18514,-583,-3.148968,0,1
B58,B,NORTH PARK,13,17931,18514,-583,-3.148968,0,1
B59,B,NORTH PARK,13,17931,18514,-583,-3.148968,0,1
B61,B,NORTH PARK,13,17931,18514,-583,-3.148968,0,1
B62,B,NORTH PARK,13,17931,18514,-583,-3.148968,0,1
B64,B,NORTH PARK,13,17931,18514,-583,-3.148968,0,1
C47,C,NORTH PARK,13,17931,18514,-583,-3.148968,0,1
C55,C,NORTH PARK,13,17931,18514,-583,-3.148968,0,1
C57,C,NORTH PARK,13,17931,18514,-583,-3.148968,0,1
A30,A,LAKE VIEW,6,94368,94817,-449,-0.473544,0,1
B84,B,LAKE VIEW,6,94368,94817,-449,-0.473544,0,1
C120,C,LAKE VIEW,6,94368,94817,-449,-0.473544,0,1
C121,C,LAKE VIEW,6,94368,94817,-449,-0.473544,0,1
C122,C,LAKE VIEW,6,94368,94817,-449,-0.473544,0,1
C123,C,LAKE VIEW,6,94368,94817,-449,-0.473544,0,1
C80,C,LAKE VIEW,6,94368,94817,-449,-0.473544,0,1
C82,C,LAKE VIEW,6,94368,94817,-449,-0.473544,0,1
C85,C,LAKE VIEW,6,94368,94817,-449,-0.473544,0,1
C87,C,LAKE VIEW,6,94368,94817,-449,-0.473544,0,1
C88,C,LAKE VIEW,6,94368,94817,-449,-0.473544,0,1
C89,C,LAKE VIEW,6,94368,94817,-449,-0.473544,0,1
A30,A,UPTOWN,3,56362,63551,-7189,-11.312174,0,1
C75,C,UPTOWN,3,56362,63551,-7189,-11.312174,0,1
C80,C,UPTOWN,3,56362,63551,-7189,-11.312174,0,1
C81,C,UPTOWN,3,56362,63551,-7189,-11.312174,0,1
C82,C,UPTOWN,3,56362,63551,-7189,-11.312174,0,1
C83,C,UPTOWN,3,56362,63551,-7189,-11.312174,0,1
C84,C,UPTOWN,3,56362,63551,-7189,-11.312174,0,1
C85,C,UPTOWN,3,56362,63551,-7189,-11.312174,0,1
C86,C,UPTOWN,3,56362,63551,-7189,-11.312174,0,1
C87,C,UPTOWN,3,56362,63551,-7189,-11.312174,0,1
C89,C,UPTOWN,3,56362,63551,-7189,-11.312174,0,1
A34,A,NEAR NORTH SIDE,8,80484,72811,7673,10.538243,1,0
B95,B,NEAR NORTH SIDE,8,80484,72811,7673,10.538243,1,0
B96,B,NEAR NORTH SIDE,8,80484,72811,7673,10.538243,1,0
C157,C,NEAR NORTH SIDE,8,80484,72811,7673,10.538243,1,0
D14,D,NEAR NORTH SIDE,8,80484,72811,7673,10.538243,1,0
D15,D,NEAR NORTH SIDE,8,80484,72811,7673,10.538243,1,0
D30,D,NEAR NORTH SIDE,8,80484,72811,7673,10.538243,1,0
D31,D,NEAR NORTH SIDE,8,80484,72811,7673,10.538243,1,0
A35,A,BEVERLY,72,20034,21992,-1958,-8.903237,0,1
A36,A,BEVERLY,72,20034,21992,-1958,-8.903237,0,1
A37,A,BEVERLY,72,20034,21992,-1958,-8.903237,0,1
B116,B,BEVERLY,72,20034,21992,-1958,-8.903237,0,1
B122,B,BEVERLY,72,20034,21992,-1958,-8.903237,0,1
B123,B,BEVERLY,72,20034,21992,-1958,-8.903237,0,1
B124,B,BEVERLY,72,20034,21992,-1958,-8.903237,0,1
B125,B,BEVERLY,72,20034,21992,-1958,-8.903237,0,1
C234,C,BEVERLY,72,20034,21992,-1958,-8.903237,0,1
C252,C,BEVERLY,72,20034,21992,-1958,-8.903237,0,1
C253,C,BEVERLY,72,20034,21992,-1958,-8.903237,0,1
C254,C,BEVERLY,72,20034,21992,-1958,-8.903237,0,1
D106,D,BEVERLY,72,20034,21992,-1958,-8.903237,0,1
D107,D,BEVERLY,72,20034,21992,-1958,-8.903237,0,1
D91,D,BEVERLY,72,20034,21992,-1958,-8.903237,0,1
B107,B,HYDE PARK,41,25681,29920,-4239,-14.167781,0,1
C213,C,HYDE PARK,41,25681,29920,-4239,-14.167781,0,1
C214,C,HYDE PARK,41,25681,29920,-4239,-14.167781,0,1
C215,C,HYDE PARK,41,25681,29920,-4239,-14.167781,0,1
C216,C,HYDE PARK,41,25681,29920,-4239,-14.167781,0,1
C218,C,HYDE PARK,41,25681,29920,-4239,-14.167781,0,1
D77,D,HYDE PARK,41,25681,29920,-4239,-14.167781,0,1
B107,B,KENWOOD,39,17841,18363,-522,-2.842673,0,1
C212,C,KENWOOD,39,17841,18363,-522,-2.842673,0,1
C213,C,KENWOOD,39,17841,18363,-522,-2.842673,0,1
C214,C,KENWOOD,39,17841,18363,-522,-2.842673,0,1
C215,C,KENWOOD,39,17841,18363,-522,-2.842673,0,1
D76,D,KENWOOD,39,17841,18363,-522,-2.842673,0,1
B108,B,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
B109,B,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
B110,B,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
B111,B,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
C238,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
C239,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
C240,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
C241,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
C242,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
C243,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
C244,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
C245,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
D89,D,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
D90,D,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
B108,B,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
B121,B,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
C219,C,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
C232,C,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
C236,C,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
C237,C,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
C238,C,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D72,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D73,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D74,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D75,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D78,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D79,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D83,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D87,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D89,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
B108,B,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
B109,B,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
B110,B,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
C216,C,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
C217,C,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
C218,C,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
C219,C,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
C220,C,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
D75,D,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
